namespace,class,func,docstring,taint_summary,memory_summary
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,basic_string& assign( basic_string&& str ) noexcept(/* 见下文 */);,"等价于 return *this = std::move(str);。

 参数
str	-	用作源以初始化字符的字符串     返回值
*this","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,"basic_string& assign( size_type count, CharT ch );"," 以字符 ch 的 count 个副本替换字符串的内容。
 等价于 clear(); resize(n, c); return *this;。

 参数
count	-	产生的字符串大小
ch	-	用以初始化字符串的字符的值     返回值
*this","{
  setSink(<1>)
  transitive(<0>, <2>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>
  <0>.size = <0>.strlen + 1
  <0>.field = <2>
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,"basic_string& assign( const CharT* s, size_type count );"," 以范围 [s, s + count) 中的字符的副本替换字符串的内容。
 如果 [s, s + count) 不是有效范围，那么行为未定义。

 参数
count	-	产生的字符串大小
s	-	指向用作源初始化字符串字符串的指针   返回值
*this","{
  setSink(<2>)
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  overflow(<2>, [0, <1>.size])
  <0>.strlen = <2>
  <0>.size = <2> + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,basic_string& assign( const CharT* s );,"等价于 return assign(s, Traits::length(s));。

 参数
s	-	指向用作源初始化字符串字符串的指针   返回值
*this","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,"template< class SV >
basic_string& assign( const SV& t );"," 以从 t 构造的字符串视图 sv 中的字符替换字符串的内容。
如果只提供了 t，那么就会以 sv 中的所有字符进行替换。
如果也提供了 pos：
如果 count 是 npos，那么就会以 sv 中从 pos 处开始的所有字符进行替换。
否则会以 sv 中从 pos 处开始的 std::min(count, sv.size() - pos) 个字符进行替换。
 这些重载只有在满足以下所有条件时才会参与重载决议：
std::is_convertible_v<const SV&, std::basic_string_view<CharT, Traits>> 是 true。
std::is_convertible_v<const SV&, const CharT*> 是 false。
等价于 std::basic_string_view<CharT, Traits> sv = t;
return assign(sv.data(), sv.size());

 参数
t	-	用以初始化字符串字符的对象（可转换到 std::basic_string_view）   返回值
*this","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.strlen
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,"template< class SV >
basic_string& assign( const SV& t,
                      size_type pos, size_type count = npos);"," 以从 t 构造的字符串视图 sv 中的字符替换字符串的内容。
如果只提供了 t，那么就会以 sv 中的所有字符进行替换。
如果也提供了 pos：
如果 count 是 npos，那么就会以 sv 中从 pos 处开始的所有字符进行替换。
否则会以 sv 中从 pos 处开始的 std::min(count, sv.size() - pos) 个字符进行替换。
 这些重载只有在满足以下所有条件时才会参与重载决议：
std::is_convertible_v<const SV&, std::basic_string_view<CharT, Traits>> 是 true。
std::is_convertible_v<const SV&, const CharT*> 是 false。
等价于 std::basic_string_view<CharT, Traits> sv = t;
return assign(sv.substr(pos, count));

 参数
t	-	用以初始化字符串字符的对象（可转换到 std::basic_string_view）
count	-	产生的字符串大小
pos	-	要取的首字符下标      返回值
*this","{
  setSink(<2>)
  setSink(<3>)
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  overflow(<2>, [0, <1>.strlen - 1])
  <0>.strlen = <3> || <1>.strlen - <2>
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,"basic_string& assign( const basic_string& str,
                      size_type pos, size_type count );","以 str 中的字符替换字符串的内容。
如果 count 是 npos，那么就会以 str 中从 pos 处开始的所有字符进行替换。
否则会以 str 中从 pos 处开始的 std::min(count, str.size() - pos) 个字符进行替换。
 等价于 return assign(std::basic_string_view<CharT, Traits>
                  (str).substr(pos, count));。
(C++20 起)


 参数
str	-	用作源以初始化字符的字符串
count	-	产生的字符串大小
pos	-	要取的首字符下标    返回值
*this","{
  setSink(<2>)
  setSink(<3>)
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  overflow(<2>, [0, <1>.strlen - 1])
  <0>.strlen = <3> || <1>.strlen - <2>
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,"basic_string& assign( const basic_string& str,
                      size_type pos, size_type count = npos);","以 str 中的字符替换字符串的内容。
如果 count 是 npos，那么就会以 str 中从 pos 处开始的所有字符进行替换。
否则会以 str 中从 pos 处开始的 std::min(count, str.size() - pos) 个字符进行替换。
 等价于 return assign(std::basic_string_view<CharT, Traits>
                  (str).substr(pos, count));。
(C++20 起)


 参数
str	-	用作源以初始化字符的字符串
count	-	产生的字符串大小
pos	-	要取的首字符下标    返回值
*this","{
  setSink(<2>)
  setSink(<3>)
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  overflow(<2>, [0, <1>.strlen - 1])
  <0>.strlen = <3> || <1>.strlen - <2>
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,"template< class InputIt >
basic_string& assign( InputIt first, InputIt last );","等价于 return assign(basic_string(first, last, get_allocator()));。
此重载只有在 InputIt 满足老式输入迭代器 (LegacyInputIterator) 的要求时才会参与重载决议。


 参数
first, last	-	复制字符来源的范围  返回值
*this","{
  transitive(<0>, <1> || <2>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = [0, MAX]
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign",basic_string,basic_string& assign( std::initializer_list<CharT> ilist );,"等价于 return assign(ilist.begin(), ilist.size());。

 参数
ilist	-	用以初始化字符串字符的 std::initializer_list

返回值
*this","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = <1>.size
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::assign_range",basic_string,"template< container-compatible-range<CharT> R >
constexpr std::basic_string& assign_range( R&& rg );","以范围 rg 中的值替换字符串的内容。
等价于
return assign(
    std::basic_string(
        std::from_range,
        std​::​forward<R>(rg),
        get_allocator())
);

 参数
rg	-	container compatible range

返回值
*this","{
  transitive(<0>, <1>)
  transitive(<-1>, <0>)
}","{
  <0>.strlen = [0, MAX]
  <0>.size = <0>.strlen + 1
  <0>.field = <1>.field
  expansion(<0>)
  <-1> = <0>
}"
"std::basic_string<CharT,Traits,Allocator>::get_allocator",basic_string,allocator_type get_allocator() const;,"返回与字符串关联的分配器。

 参数
无

返回值
关联的分配器。",{},{}
"std::basic_string<CharT,Traits,Allocator>::at",basic_string,CharT& at( size_type pos );,"返回到位于指定位置 pos 的字符的引用。进行边界检查，非法访问时抛出 std::out_of_range 类型的异常。

 参数
pos	-	要返回的字符位置

返回值
到请求的字符的引用。","{
  setSink(<1>)
  transitive(<-1>, <0>)
}","{
  <-1> = <0>.field
}"
"std::basic_string<CharT,Traits,Allocator>::at",basic_string,const CharT& at( size_type pos ) const;,"返回到位于指定位置 pos 的字符的引用。进行边界检查，非法访问时抛出 std::out_of_range 类型的异常。

 参数
pos	-	要返回的字符位置

返回值
到请求的字符的引用。","{
  setSink(<1>)
  transitive(<-1>, <0>)
}","{
  <-1> = <0>.field
}"
"std::basic_string<CharT,Traits,Allocator>::operator[]",basic_string,CharT& operator[]( size_type pos );,"在 pos < size() 时返回到位于指定位置 pos 的字符的引用，或在 pos == size() 时：
行为未定义。(C++11 前)
返回到 CharT() 的引用，如果返回的引用指代的对象被修改成 CharT() 以外的值，那么行为未定义。(C++11 起)
 
 参数
pos	-	要返回的字符位置

返回值
在 pos < size() 时返回 *(begin() + pos)，或在 pos == size() 时返回到 CharT() 的引用(C++11 起)。","{
  setSink(<1>)
  transitive(<-1>, <0>)
}","{
  overflow(<1>, [0, <0>.strlen - 1])
  <-1> = <0>.field
}"
"std::basic_string<CharT,Traits,Allocator>::operator[]",basic_string,const CharT& operator[]( size_type pos ) const;,"返回到 CharT() 的引用。
 
 参数
pos	-	要返回的字符位置

返回值
在 pos < size() 时返回 *(begin() + pos)，或在 pos == size() 时返回到 CharT() 的引用。","{
  setSink(<1>)
  transitive(<-1>, <0>)
}","{
  overflow(<1>, [0, <0>.strlen - 1])
  <-1> = <0>.field
}"
"std::basic_string<CharT,Traits,Allocator>::front",basic_string,CharT& front();,"返回到字符串中首字符的引用。如果 empty() 是 true，那么行为未定义。
 
 参数
无

返回值
operator[](0)","{
  transitive(<-1>, <0>)
}","{
  <-1> = <0>.field
}"
